sep=;
id;title_ru;description_ru;difficulty
88;Сложение двух чисел, представленных списками;"Даны два неотрицательных целых числа, каждое задано в виде односвязного списка, где каждая вершина содержит одну цифру, а цифры записаны в обратном порядке (младший разряд первым). Нужно сложить числа и вернуть сумму в таком же виде списка. Формат ввода задаётся отдельно. Формат вывода: ответом является один список; сначала выведите целое k — количество цифр результата, затем k цифр суммы в обратном порядке через пробел.";Medium
89;Перестановка списка (Reorder List);"Дан односвязный список L0 → L1 → … → Ln. Требуется перестроить его в L0 → Ln → L1 → Ln-1 → …, чередуя элементы с начала и конца. Операция должна быть выполнена на месте. Формат ввода задаётся отдельно. Формат вывода: ответом является один список; сначала выведите целое k — длину списка после перестановки (равную исходной), затем k элементов через пробел в новом порядке.";Medium
90;Сортировка массива из 0, 1 и 2;"Дана последовательность из n чисел, каждое равно 0, 1 или 2. Требуется отсортировать последовательность так, чтобы сначала шли все нули, затем все единицы, затем все двойки, используя только константную дополнительную память. Формат ввода задаётся отдельно. Формат вывода: ответом является один список длины n; сначала выведите k = n, затем k элементов отсортированной последовательности через пробел.";Medium
91;Поиск пика в последовательности;"Дана последовательность из n чисел, в которой соседние элементы различны. Элемент называется пиком, если он строго больше своих соседей (при их наличии). Требуется найти индекс любого пика. Формат ввода задаётся отдельно. Формат вывода: выведите одно целое число — индекс (0-based) найденного пика.";Medium
92;Диапазон вхождения числа в отсортированной последовательности;"Дана отсортированная по неубыванию последовательность из n чисел и число target. Нужно найти начальную и конечную позиции числа target (его первый и последний индекс). Если target не встречается, следует вывести -1 -1. Формат ввода задаётся отдельно. Формат вывода: ответом является один список из двух чисел; сначала выведите k = 2, затем два целых числа — левую и правую границы диапазона.";Medium
93;Генерация спиральной матрицы;"Дано целое число n. Требуется построить квадратную матрицу n × n, заполненную числами от 1 до n² по спирали по часовой стрелке, начиная с левого верхнего угла. Формат ввода задаётся отдельно. Формат вывода: ответом является набор списков — строки матрицы; сначала выведите целое число m = n, затем для каждой строки: её длину k_i = n и n элементов через пробел.";Medium
94;Циклический сдвиг последовательности вправо;"Дано целое число n, последовательность из n чисел и целое число k. Требуется выполнить циклический сдвиг последовательности вправо на k позиций (элементы, выходящие за правый край, переносятся в начало). Формат ввода задаётся отдельно. Формат вывода: ответом является один список длины n; сначала выведите k_out = n, затем n элементов результирующей последовательности через пробел.";Medium
95;Поиск всех анаграмм подстроки;"Даны две строки s и p. Нужно найти все стартовые позиции подстрок s длиной |p|, которые являются анаграммами p. Формат ввода задаётся отдельно. Формат вывода: ответом является один список индексов; сначала выведите целое число k — количество таких позиций, затем k индексов (0-based) в порядке возрастания через пробел.";Medium
96;Минимальное окно, содержащее все символы;"Даны строки s и t. Нужно найти подстроку s минимальной длины, которая содержит все символы строки t с учётом количества (каждый символ t должен встречаться не меньше указанного числа раз). Если такой подстроки нет, нужно вернуть пустую строку. Формат ввода задаётся отдельно. Формат вывода: выведите найденную подстроку как строку (или пустую строку, если решения нет).";Medium
97;Ежедневные температуры;"Дана последовательность дневных температур. Для каждого дня требуется определить, через сколько дней после него температура станет строго выше текущей. Если такого дня нет, нужно записать 0. Формат ввода задаётся отдельно. Формат вывода: ответом является один список длины n; сначала выведите k = n, затем k целых чисел — ответы для каждого дня.";Medium
98;Следующий больший элемент в кольцевой последовательности;"Дана кольцевая последовательность из n чисел (после последнего следует первый). Для каждого элемента нужно найти следующий по ходу вправо элемент, который строго больше него, с учётом перехода через конец. Если такого элемента нет, записать -1. Формат ввода задаётся отдельно. Формат вывода: ответом является один список длины n; сначала выведите k = n, затем k целых чисел — значения следующих больших элементов или -1.";Medium
99;Планировщик задач с периодом охлаждения;"Дана последовательность задач (обозначенных символами) и целое число n — период «охлаждения». За одну единицу времени можно выполнить одну задачу или сделать паузу. Между двумя одинаковыми задачами должно пройти не менее n единиц времени. Нужно определить минимальное количество единиц времени, необходимое для выполнения всех задач. Формат ввода задаётся отдельно. Формат вывода: выведите одно целое число — минимальное время исполнения всех задач.";Medium
100;Максимальная площадь острова;"Дана бинарная матрица, где 1 обозначает сушу, а 0 — воду. Остров — это набор клеток с 1, соединённых по сторонам. Площадь острова — количество его клеток. Требуется найти максимальную площадь одного острова (если суши нет, ответ 0). Формат ввода задаётся отдельно. Формат вывода: выведите одно целое число — максимальную площадь острова.";Medium
